# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R2
            228  0.00083299867  3.8091381e-05  0.00082925013  3.7949176e-05   0.0008348924  3.8218651e-05
            229  0.00078233668  3.7579826e-05  0.00077918224  3.7428599e-05  0.00078534603  3.7688457e-05
            230  0.00084654089  3.7982712e-05  0.00084239022  3.7827759e-05   0.0008484021  3.8080237e-05
            231  0.00086391744  3.7661682e-05  0.00086009919  3.7528954e-05  0.00086618453  3.7758135e-05
            232   0.0008244593  3.7696172e-05   0.0008206779  3.7551389e-05  0.00082661884    3.77861e-05
            233  0.00075206605   3.642074e-05  0.00074900253  3.6287753e-05  0.00075397438  3.6506497e-05
            234  0.00076038557  3.5615312e-05  0.00075702011  3.5474397e-05  0.00076229083  3.5698064e-05
            235  0.00064852825   3.413039e-05  0.00064309868  3.3997342e-05  0.00065116111  3.4257202e-05
            236  0.00074352785  3.5668581e-05  0.00074124883  3.5543455e-05   0.0007454688  3.5758071e-05
            237  0.00064849164  3.4099331e-05  0.00064674485  3.3984094e-05  0.00064973234  3.4174862e-05
            238  0.00068585562  3.4531747e-05  0.00068368293  3.4399326e-05  0.00068830103  3.4603168e-05
            239  0.00071551098  3.4880036e-05  0.00071335337  3.4776829e-05   0.0007173252  3.4957437e-05
            240  0.00062346883  3.3387597e-05  0.00062181228  3.3265029e-05   0.0006252578  3.3428493e-05
            241  0.00067524923   3.438453e-05  0.00067265066  3.4267971e-05  0.00067652984  3.4455614e-05
            242  0.00069391854  3.4078767e-05  0.00069050448  3.3927438e-05  0.00069638819   3.418224e-05
            243  0.00067365616  3.4337905e-05  0.00067079772  3.4210158e-05  0.00067553147  3.4408316e-05
            244  0.00060814606  3.2570929e-05  0.00060545028  3.2462521e-05  0.00060999123   3.264342e-05
            245  0.00061717916  3.2836276e-05  0.00061462415  3.2735415e-05  0.00061887346  3.2888503e-05
            246  0.00057396958  3.1410254e-05  0.00057198746  3.1285704e-05  0.00057534942  3.1432578e-05
            247  0.00069472945  3.3586614e-05  0.00069221364  3.3480114e-05  0.00069599352  3.3643914e-05
            248  0.00062414833  3.3696846e-05   0.0006231823  3.3642166e-05  0.00063017333  3.3962585e-05
            249  0.00063413556  3.3438215e-05  0.00063208077  3.3341365e-05  0.00063505982  3.3493845e-05
            250  0.00059087012  3.2065652e-05  0.00058780532  3.1935938e-05  0.00059336249  3.2155683e-05
            251  0.00053171344  3.0643395e-05  0.00052963156  3.0535251e-05  0.00053342818  3.0725127e-05
            252  0.00072474449  3.5233525e-05  0.00072142391  3.5092825e-05   0.0007264652  3.5304288e-05
            253  0.00054988428  3.1416919e-05  0.00054772448  3.1290302e-05  0.00055104651  3.1498197e-05
            254   0.0005004043  2.9707854e-05   0.0004984238  2.9613978e-05  0.00050175183  2.9778563e-05
            255    0.000533306  3.0652348e-05  0.00053047923  3.0549074e-05  0.00053422326  3.0704495e-05
            256  0.00052619197  3.0274515e-05  0.00052433428  3.0189925e-05  0.00052732877  3.0326062e-05
            257  0.00055012576  3.0946777e-05  0.00054884114  3.0853214e-05  0.00055086383  3.1005802e-05
            258  0.00055576166  3.0288551e-05  0.00055406464   3.018319e-05  0.00055694881  3.0372999e-05
            259  0.00050524198  3.0163879e-05  0.00050378189  3.0083299e-05  0.00050595569  3.0182681e-05
            260  0.00051244681  2.9485465e-05  0.00050993196  2.9373106e-05  0.00051374235  2.9544494e-05
            261  0.00054408522  3.0266589e-05  0.00054203293  3.0159835e-05  0.00054555948  3.0350964e-05
            262  0.00056848957  3.0815734e-05  0.00056695128  3.0726922e-05  0.00057009338  3.0888368e-05
            263  0.00048854335   2.982109e-05  0.00048748655  2.9733607e-05  0.00048948932   2.987124e-05
            264  0.00052387064  2.9029183e-05  0.00052222539  2.8924251e-05   0.0005248236  2.9094224e-05
            265  0.00046810359  2.8587298e-05  0.00046677428  2.8514176e-05  0.00046925045  2.8641562e-05
            266  0.00055507409  3.0727155e-05  0.00055288959  3.0620006e-05  0.00055652999  3.0806272e-05
            267  0.00045260962  2.8275294e-05  0.00045051409  2.8171483e-05  0.00045375699  2.8309864e-05
            268  0.00048617324  2.9165034e-05  0.00048541809  2.9088285e-05  0.00048669032  2.9194637e-05
            269  0.00043893937  2.6984703e-05  0.00043775442  2.6901516e-05  0.00043970729  2.7044039e-05
            270  0.00046932468  2.8160668e-05  0.00046740422   2.806889e-05   0.0004705975  2.8216489e-05
            271   0.0004396976  2.8030977e-05  0.00043755309  2.7928373e-05  0.00044096824  2.8096392e-05
